Protein Uniprot,Protein names,Length,Mass
Q16576,Histone-binding protein RBBP7 (Histone acetyltransferase type B subunit 2) (Nucleosome-remodeling factor subunit RBAP46) (Retinoblastoma-binding protein 7) (RBBP-7) (Retinoblastoma-binding protein p46),425,47820
Q16581,C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R),482,53864
Q16584,Mitogen-activated protein kinase kinase kinase 11 (EC 2.7.11.25) (Mixed lineage kinase 3) (Src-homology 3 domain-containing proline-rich kinase),847,92688
Q16585,Beta-sarcoglycan (Beta-SG) (43 kDa dystrophin-associated glycoprotein) (43DAG) (A3b),318,34777
Q16586,Alpha-sarcoglycan (Alpha-SG) (50 kDa dystrophin-associated glycoprotein) (50DAG) (Adhalin) (Dystroglycan-2),387,42875
Q16587,Zinc finger protein 74 (Zinc finger protein 520) (hZNF7),644,72207
Q16594,Transcription initiation factor TFIID subunit 9 (RNA polymerase II TBP-associated factor subunit G) (STAF31/32) (Transcription initiation factor TFIID 31 kDa subunit) (TAFII-31) (TAFII31) (Transcription initiation factor TFIID 32 kDa subunit) (TAFII-32) (TAFII32),264,28974
Q16595,"Frataxin, mitochondrial (EC 1.16.3.1) (Friedreich ataxia protein) (Fxn) [Cleaved into: Frataxin intermediate form (i-FXN); Frataxin(56-210) (m56-FXN); Frataxin(78-210) (d-FXN) (m78-FXN); Frataxin mature form (Frataxin(81-210)) (m81-FXN); Extramitochondrial frataxin]",210,23135
Q16600,Zinc finger protein 239 (Zinc finger protein HOK-2) (Zinc finger protein MOK-2),458,51591
Q16602,Calcitonin gene-related peptide type 1 receptor (CGRP type 1 receptor) (Calcitonin receptor-like receptor),461,52979
Q16610,Extracellular matrix protein 1 (Secretory component p85),540,60674
Q16611,Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK) (Bcl-2-like protein 7) (Bcl2-L-7),211,23409
Q16612,Neuronal regeneration-related protein (Neuronal protein 3.1) (Protein p311),68,7909
Q16613,Serotonin N-acetyltransferase (Serotonin acetylase) (EC 2.3.1.87) (Aralkylamine N-acetyltransferase) (AA-NAT),207,23344
Q16617,Protein NKG7 (G-CSF-induced gene 1 protein) (GIG-1 protein) (Granule membrane protein of 17 kDa) (GMP-17) (Natural killer cell protein 7) (p15-TIA-1),165,17665
Q16619,Cardiotrophin-1 (CT-1),201,21227
Q16620,BDNF/NT-3 growth factors receptor (EC 2.7.10.1) (GP145-TrkB) (Trk-B) (Neurotrophic tyrosine kinase receptor type 2) (TrkB tyrosine kinase) (Tropomyosin-related kinase B),822,91999
Q16621,"Transcription factor NF-E2 45 kDa subunit (Leucine zipper protein NF-E2) (Nuclear factor, erythroid-derived 2 45 kDa subunit) (p45 NF-E2)",373,41473
Q16623,Syntaxin-1A (Neuron-specific antigen HPC-1),288,33023
Q16625,Occludin,522,59144
Q16627,C-C motif chemokine 14 (Chemokine CC-1/CC-3) (HCC-1/HCC-3) (HCC-1(1-74)) (NCC-2) (Small-inducible cytokine A14) [Cleaved into: HCC-1(3-74); HCC-1(4-74); HCC-1(9-74)],93,10678
Q16629,"Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)",238,27367
Q16630,Cleavage and polyadenylation specificity factor subunit 6 (Cleavage and polyadenylation specificity factor 68 kDa subunit) (CPSF 68 kDa subunit) (Cleavage factor Im complex 68 kDa subunit) (CFIm68) (Pre-mRNA cleavage factor Im 68 kDa subunit) (Protein HPBRII-4/7),551,59210
Q16633,POU domain class 2-associating factor 1 (B-cell-specific coactivator OBF-1) (BOB-1) (OCA-B) (OCT-binding factor 1),256,27436
Q16635,Tafazzin (Taz) (EC 2.3.1.-) (Protein G4.5),262,30203
Q16637,Survival motor neuron protein (Component of gems 1) (Gemin-1),294,31849
Q16643,Drebrin (Developmentally-regulated brain protein),649,71429
Q16644,MAP kinase-activated protein kinase 3 (MAPK-activated protein kinase 3) (MAPKAP kinase 3) (MAPKAP-K3) (MAPKAPK-3) (MK-3) (EC 2.7.11.1) (Chromosome 3p kinase) (3pK),382,42987
Q16647,Prostacyclin synthase (EC 5.3.99.4) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Prostaglandin I2 synthase),500,57104
Q16649,Nuclear factor interleukin-3-regulated protein (E4 promoter-binding protein 4) (Interleukin-3 promoter transcriptional activator) (Interleukin-3-binding protein 1) (Transcriptional activator NF-IL3A),462,51472
Q16650,T-box brain protein 1 (T-brain-1) (TBR-1) (TES-56),682,74053
Q16651,Prostasin (EC 3.4.21.-) (Channel-activating protease 1) (CAP1) (Serine protease 8) [Cleaved into: Prostasin light chain; Prostasin heavy chain],343,36431
Q16653,Myelin-oligodendrocyte glycoprotein,247,28193
Q16654,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 4)",411,46469
Q16655,Melanoma antigen recognized by T-cells 1 (MART-1) (Antigen LB39-AA) (Antigen SK29-AA) (Protein Melan-A),118,13157
Q16656,Nuclear respiratory factor 1 (NRF-1) (Alpha palindromic-binding protein) (Alpha-pal),503,53541
Q16658,Fascin (55 kDa actin-bundling protein) (Singed-like protein) (p55),493,54530
Q16659,Mitogen-activated protein kinase 6 (MAP kinase 6) (MAPK 6) (EC 2.7.11.24) (Extracellular signal-regulated kinase 3) (ERK-3) (MAP kinase isoform p97) (p97-MAPK),721,82681
Q16663,C-C motif chemokine 15 (Chemokine CC-2) (HCC-2) (Leukotactin-1) (LKN-1) (MIP-1 delta) (Macrophage inflammatory protein 5) (MIP-5) (Mrp-2b) (NCC-3) (Small-inducible cytokine A15) [Cleaved into: CCL15(22-92); CCL15(25-92); CCL15(29-92)],113,12236
Q16665,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein) (Basic-helix-loop-helix-PAS protein MOP1) (Class E basic helix-loop-helix protein 78) (bHLHe78) (Member of PAS protein 1) (PAS domain-containing protein 8),826,92670
Q16666,Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator),785,88256
Q16667,Cyclin-dependent kinase inhibitor 3 (EC 3.1.3.16) (EC 3.1.3.48) (CDK2-associated dual-specificity phosphatase) (Cyclin-dependent kinase interactor 1) (Cyclin-dependent kinase-interacting protein 2) (Kinase-associated phosphatase),212,23805
Q16670,Zinc finger and SCAN domain-containing protein 26 (Protein SRE-ZBP) (Zinc finger protein 187),478,55254
Q16671,Anti-Muellerian hormone type-2 receptor (EC 2.7.11.30) (Anti-Muellerian hormone type II receptor) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII),573,62750
Q16674,Melanoma-derived growth regulatory protein (Melanoma inhibitory activity protein),131,14509
Q16676,Forkhead box protein D1 (Forkhead-related protein FKHL8) (Forkhead-related transcription factor 4) (FREAC-4),465,46140
Q16678,Cytochrome P450 1B1 (EC 1.14.14.1) (CYPIB1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),543,60846
Q16690,Dual specificity protein phosphatase 5 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH3),384,42047
Q16695,Histone H3.1t (H3/t) (H3t) (H3/g) (Histone H3.4),136,15508
Q16696,Cytochrome P450 2A13 (EC 1.14.14.1) (CYPIIA13),494,56688
Q16698,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial (EC 1.3.1.124) (2,4-dienoyl-CoA reductase [NADPH]) (4-enoyl-CoA reductase [NADPH]) (Short chain dehydrogenase/reductase family 18C member 1)",335,36068
Q16706,"Alpha-mannosidase 2 (EC 3.2.1.114) (Golgi alpha-mannosidase II) (AMan II) (Man II) (Mannosidase alpha class 2A member 1) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)",1144,131141
Q16718,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit),116,13459
Q16719,Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase),465,52352
Q16720,Plasma membrane calcium-transporting ATPase 3 (PMCA3) (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 3) (Plasma membrane calcium pump isoform 3),1220,134197
Q16739,Ceramide glucosyltransferase (EC 2.4.1.80) (GLCT-1) (Glucosylceramide synthase) (GCS) (Glycosylceramide synthase) (UDP-glucose ceramide glucosyltransferase) (UDP-glucose:N-acylsphingosine D-glucosyltransferase),394,44854
Q16740,"ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Endopeptidase Clp)",277,30180
Q16760,Diacylglycerol kinase delta (DAG kinase delta) (EC 2.7.1.107) (130 kDa diacylglycerol kinase) (Diglyceride kinase delta) (DGK-delta),1214,134525
Q16762,Thiosulfate sulfurtransferase (EC 2.8.1.1) (Rhodanese),297,33429
Q16763,Ubiquitin-conjugating enzyme E2 S (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme S) (E2-EPF) (Ubiquitin carrier protein S) (Ubiquitin-conjugating enzyme E2-24 kDa) (Ubiquitin-conjugating enzyme E2-EPF5) (Ubiquitin-protein ligase S),222,23845
Q16769,Glutaminyl-peptide cyclotransferase (EC 2.3.2.5) (Glutaminyl cyclase) (QC) (sQC) (Glutaminyl-tRNA cyclotransferase) (Glutamyl cyclase) (EC),361,40877
Q16772,Glutathione S-transferase A3 (EC 2.5.1.18) (GST class-alpha member 3) (Glutathione S-transferase A3-3),222,25302
Q16773,Kynurenine--oxoglutarate transaminase 1 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase) (EC 4.4.1.13) (Glutamine transaminase K) (GTK) (Glutamine--phenylpyruvate transaminase) (EC 2.6.1.64) (Kynurenine aminotransferase 1) (Kynurenine aminotransferase I) (KATI) (Kynurenine--oxoglutarate transaminase I),422,47875
Q16774,Guanylate kinase (EC 2.7.4.8) (GMP kinase) (Guanylate kinase 1),197,21726
Q16775,"Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)",308,33806
Q16777,Histone H2A type 2-C (H2A-clustered histone 20) (Histone H2A-GL101) (Histone H2A/q),129,13988
Q16778,Histone H2B type 2-E (H2B-clustered histone 21) (Histone H2B-GL105) (Histone H2B.q) (H2B/q),126,13920
Q16787,Laminin subunit alpha-3 (Epiligrin 170 kDa subunit) (E170) (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha),3333,366619
Q16790,Carbonic anhydrase 9 (EC 4.2.1.1) (Carbonate dehydratase IX) (Carbonic anhydrase IX) (CA-IX) (CAIX) (Membrane antigen MN) (P54/58N) (Renal cell carcinoma-associated antigen G250) (RCC-associated antigen G250) (pMW1),459,49698
Q16795,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)",377,42510
Q16798,"NADP-dependent malic enzyme, mitochondrial (NADP-ME) (EC 1.1.1.40) (Malic enzyme 3)",604,67068
Q16799,Reticulon-1 (Neuroendocrine-specific protein),776,83618
Q16816,"Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform (PHK-gamma-M) (EC 2.7.11.19) (Phosphorylase kinase subunit gamma-1) (Serine/threonine-protein kinase PHKG1) (EC 2.7.11.1, EC 2.7.11.26)",387,45024
Q16819,Meprin A subunit alpha (EC 3.4.24.18) (Endopeptidase-2) (N-benzoyl-L-tyrosyl-P-amino-benzoic acid hydrolase subunit alpha) (PABA peptide hydrolase) (PPH alpha),746,84419
Q16820,Meprin A subunit beta (EC 3.4.24.63) (Endopeptidase-2) (Meprin B) (N-benzoyl-L-tyrosyl-P-amino-benzoic acid hydrolase subunit beta) (PABA peptide hydrolase) (PPH beta),701,79571
Q16821,Protein phosphatase 1 regulatory subunit 3A (Protein phosphatase 1 glycogen-associated regulatory subunit) (Protein phosphatase type-1 glycogen targeting subunit) (RG1),1122,125767
Q16822,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32)",640,70699
Q16825,Tyrosine-protein phosphatase non-receptor type 21 (EC 3.1.3.48) (Protein-tyrosine phosphatase D1),1174,133281
Q16827,Receptor-type tyrosine-protein phosphatase O (R-PTP-O) (EC 3.1.3.48) (Glomerular epithelial protein 1) (Protein tyrosine phosphatase U2) (PTP-U2) (PTPase U2),1216,138344
Q16828,Dual specificity protein phosphatase 6 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PYST1) (Mitogen-activated protein kinase phosphatase 3) (MAP kinase phosphatase 3) (MKP-3),381,42320
Q16829,Dual specificity protein phosphatase 7 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PYST2),419,44957
Q16831,Uridine phosphorylase 1 (UPase 1) (UrdPase 1) (EC 2.4.2.3),310,33934
Q16832,"Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)",855,96736
Q16836,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial (HCDH) (EC 1.1.1.35) (Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase) (Short-chain 3-hydroxyacyl-CoA dehydrogenase)",314,34294
Q16842,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2 (Alpha 2,3-ST 2) (Beta-galactoside alpha-2,3-sialyltransferase 2) (EC 2.4.3.4) (Gal-NAc6S) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (Monosialoganglioside sialyltransferase) (EC 2.4.3.2) (ST3Gal II) (ST3GalII) (ST3GalA.2) (Sialyltransferase 4B) (SIAT4-B)",350,40173
Q16849,Receptor-type tyrosine-protein phosphatase-like N (R-PTP-N) (Islet cell antigen 512) (ICA 512) (Islet cell autoantigen 3) (PTP IA-2) [Cleaved into: ICA512-N-terminal fragment (ICA512-NTF); ICA512-transmembrane fragment (ICA512-TMF); ICA512-cleaved cytosolic fragment (ICA512-CCF)],979,105848
Q16850,Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase),509,57278
Q16851,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase),508,56940
Q16853,Membrane primary amine oxidase (EC 1.4.3.21) (Copper amine oxidase) (HPAO) (Semicarbazide-sensitive amine oxidase) (SSAO) (Vascular adhesion protein 1) (VAP-1),763,84622
Q16854,"Deoxyguanosine kinase, mitochondrial (EC 2.7.1.113) (Deoxyadenosine kinase, mitochondrial) (EC 2.7.1.76)",277,32056
Q16864,V-type proton ATPase subunit F (V-ATPase subunit F) (V-ATPase 14 kDa subunit) (Vacuolar proton pump subunit F),119,13370
Q16873,Leukotriene C4 synthase (LTC4 synthase) (EC 4.4.1.20) (Glutathione S-transferase LTC4) (EC 2.5.1.-) (Leukotriene-C(4) synthase) (Leukotriene-C4 synthase),150,16567
Q16875,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3 (6PF-2-K/Fru-2,6-P2ase 3) (PFK/FBPase 3) (6PF-2-K/Fru-2,6-P2ase brain/placenta-type isozyme) (Renal carcinoma antigen NY-REN-56) (iPFK-2) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]",520,59609
Q16877,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4 (6PF-2-K/Fru-2,6-P2ase 4) (PFK/FBPase 4) (6PF-2-K/Fru-2,6-P2ase testis-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]",469,54040
Q16878,Cysteine dioxygenase type 1 (EC 1.13.11.20) (Cysteine dioxygenase type I) (CDO) (CDO-I),200,22972
Q16880,2-hydroxyacylsphingosine 1-beta-galactosyltransferase (EC 2.4.1.47) (Ceramide UDP-galactosyltransferase) (Cerebroside synthase) (UDP-galactose-ceramide galactosyltransferase),541,61438
Q16881,"Thioredoxin reductase 1, cytoplasmic (TR) (EC 1.8.1.9) (Gene associated with retinoic and interferon-induced mortality 12 protein) (GRIM-12) (Gene associated with retinoic and IFN-induced mortality 12 protein) (KM-102-derived reductase-like factor) (Peroxidase TXNRD1) (EC 1.11.1.2) (Thioredoxin reductase TR1)",649,70906
Q16890,Tumor protein D53 (hD53) (Tumor protein D52-like 1),204,22449
Q16891,MICOS complex subunit MIC60 (Cell proliferation-inducing gene 4/52 protein) (Mitochondrial inner membrane protein) (Mitofilin) (p87/89),758,83678
Q17R60,Interphotoreceptor matrix proteoglycan 1 (Interphotoreceptor matrix proteoglycan of 150 kDa) (IPM-150) (Sialoprotein associated with cones and rods),797,89387
Q17R89,Rho GTPase-activating protein 44 (NPC-A-10) (Rho-type GTPase-activating protein RICH2) (RhoGAP interacting with CIP4 homologs protein 2) (RICH-2),818,89247
Q17R98,Zinc finger protein 827,1081,119165
Q17RB8,LON peptidase N-terminal domain and RING finger protein 1 (RING finger protein 191),773,86725
Q17RD7,Synaptotagmin-16 (Chr14Syt) (Synaptotagmin 14-like protein) (Synaptotagmin XIV-related protein),645,72274
Q17RS7,Flap endonuclease GEN homolog 1 (EC 3.1.-.-),908,102884
Q17RW2,Collagen alpha-1(XXIV) chain,1714,175496
Q17RY0,Cytoplasmic polyadenylation element-binding protein 4 (CPE-BP4) (CPE-binding protein 4) (hCPEB-4),729,80152
Q18PE1,Protein Dok-7 (Downstream of tyrosine kinase 7),504,53097
Q19AV6,Zinc finger SWIM domain-containing protein 7 (SWIM domain-containing and Srs2-interacting protein 1 homolog) (SWIM-type zinc finger domain-containing protein 7),140,15386
Q19T08,Endothelial cell-specific chemotaxis regulator (Apoptosis regulator through modulating IAP expression) (ARIA) (Endothelial cell-specific molecule 2),205,21295
Q1EHB4,Sodium-coupled monocarboxylate transporter 2 (Electroneutral sodium monocarboxylate cotransporter) (Low-affinity sodium-lactate cotransporter) (Solute carrier family 5 member 12),618,67647
Q1HG43,Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein),343,37815
Q1HG44,Dual oxidase maturation factor 2 (Dual oxidase activator 2),320,34787
Q1L5Z9,LON peptidase N-terminal domain and RING finger protein 2 (Neuroblastoma apoptosis-related protease) (RING finger protein 192),754,83654
Q1MSJ5,Centrosome and spindle pole-associated protein 1,1256,145522
Q1MX18,Protein inscuteable homolog,579,63469
Q1RMZ1,S-adenosylmethionine sensor upstream of mTORC1 (Probable methyltransferase BMT2 homolog) (EC 2.1.1.-),405,46324
Q1W6H9,Protein FAM110C,321,33863
Q24JP5,Transmembrane protein 132A (HSPA5-binding protein 1),1023,110110
Q27J81,Inverted formin-2 (HBEBP2-binding protein C),1249,135624
Q29980,MHC class I polypeptide-related sequence B (MIC-B),383,42575
Q29983,MHC class I polypeptide-related sequence A (MIC-A),383,42915
Q29RF7,Sister chromatid cohesion protein PDS5 homolog A (Cell proliferation-inducing gene 54 protein) (Sister chromatid cohesion protein 112) (SCC-112),1337,150830
Q2HXU8,C-type lectin domain family 12 member B (Macrophage antigen H),276,31616
Q2I0M4,Leucine-rich repeat-containing protein 26 (BK channel auxiliary gamma subunit LRRC26) (Cytokeratin-associated protein in cancer),334,34857
Q2I0M5,R-spondin-4 (Roof plate-specific spondin-4) (hRspo4),234,26171
Q2KHM9,Protein moonraker (MNR) (OFD1- and FOPNL-interacting protein),967,109407
Q2KHN1,RING finger protein 151,245,27412
Q2KHR2,DNA-binding protein RFX7 (Regulatory factor X 7) (Regulatory factor X domain-containing protein 2),1363,146896
